TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
82,1858,13,32,年份数值越界,,,,
83,2101,0,0,年份数值越界,,,,
84,2102,0,16,年份数值越界,,,,
85,2103,0,28,年份数值越界,,,,
86,2104,0,29,年份数值越界,,,,
87,2105,0,30,年份数值越界,,,,
88,2106,0,31,年份数值越界,,,,
89,2107,0,32,年份数值越界,,,,
90,2108,2,0,年份数值越界,,,,
91,2109,2,16,年份数值越界,,,,
92,2110,2,28,年份数值越界,,,,
93,2111,2,29,年份数值越界,,,,
94,2112,2,30,年份数值越界,,,,
95,2113,2,31,年份数值越界,,,,
96,2114,2,32,年份数值越界,,,,
97,2115,1,0,年份数值越界,,,,
98,2116,1,16,年份数值越界,,,,
99,2117,3,28,年份数值越界,,,,
100,2118,5,29,年份数值越界,,,,
101,2119,7,30,年份数值越界,,,,
102,2120,8,31,年份数值越界,,,,
103,2121,8,32,年份数值越界,,,,
104,2122,4,0,年份数值越界,,,,
105,2123,4,16,年份数值越界,,,,
106,2124,6,28,年份数值越界,,,,
107,2125,9,29,年份数值越界,,,,
108,2126,11,30,年份数值越界,,,,
109,2127,11,31,年份数值越界,,,,
110,2128,11,32,年份数值越界,,,,
111,2129,12,0,年份数值越界,,,,
112,2130,12,16,年份数值越界,,,,
113,2131,12,28,年份数值越界,,,,
114,2132,12,29,年份数值越界,,,,
115,2133,12,30,年份数值越界,,,,
116,2134,12,31,年份数值越界,,,,
117,2135,12,32,年份数值越界,,,,
118,2136,13,0,年份数值越界,,,,
119,2137,13,16,年份数值越界,,,,
120,2138,13,28,年份数值越界,,,,
121,2139,13,29,年份数值越界,,,,
122,2140,13,30,年份数值越界,,,,
123,2141,13,31,年份数值越界,,,,
124,2142,13,32,年份数值越界,,,,
125,2000,0,0,月份数值越界,,,,
126,2000,0,16,月份数值越界,,,,
127,2000,0,28,月份数值越界,,,,
128,2000,0,29,月份数值越界,,,,
129,2000,0,30,月份数值越界,,,,
130,2000,0,31,月份数值越界,,,,
131,2000,0,32,月份数值越界,,,,
132,2001,0,0,月份数值越界,,,,
133,2001,0,16,月份数值越界,,,,
134,2001,0,28,月份数值越界,,,,
135,2001,0,29,月份数值越界,,,,
136,2001,0,30,月份数值越界,,,,
137,2001,0,31,月份数值越界,,,,
138,2001,0,32,月份数值越界,,,,
139,2000,13,0,月份数值越界,,,,
140,2000,13,16,月份数值越界,,,,
141,2000,13,28,月份数值越界,,,,
142,2000,13,29,月份数值越界,,,,
143,2000,13,30,月份数值越界,,,,
144,2000,13,31,月份数值越界,,,,
145,2000,13,32,月份数值越界,,,,
146,2001,13,0,月份数值越界,,,,
147,2001,13,16,月份数值越界,,,,
148,2001,13,28,月份数值越界,,,,
149,2001,13,29,月份数值越界,,,,
150,2001,13,30,月份数值越界,,,,
151,2001,13,31,月份数值越界,,,,
152,2001,13,32,月份数值越界,,,,
153,2000,1,0,日期数值越界,,,,
154,2001,1,0,日期数值越界,,,,
155,2000,2,0,日期数值越界,,,,
156,2001,2,0,日期数值越界,,,,
157,2000,4,0,日期数值越界,,,,
158,2001,4,0,日期数值越界,,,,
159,2000,12,0,日期数值越界,,,,
160,2001,12,0,日期数值越界,,,,
161,2000,1,32,日期数值越界,,,,
162,2001,1,32,日期数值越界,,,,
163,2000,2,32,日期数值越界,,,,
164,2001,2,32,日期数值越界,,,,
165,2000,4,32,日期数值越界,,,,
166,2001,4,32,日期数值越界,,,,
167,2000,12,32,日期数值越界,,,,
168,2001,12,32,日期数值越界,,,,
