TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
40,2115,11,31,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
41,2116,12,16,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
42,2117,12,28,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
43,2118,12,29,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
44,2119,12,30,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
45,2120,12,31,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
46,2000,0,16,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
47,2000,0,28,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
48,2000,0,29,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
49,2000,0,30,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
50,2000,0,31,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
51,2001,0,16,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
52,2001,0,28,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
53,2001,0,29,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
54,2001,0,30,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
55,2001,0,31,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
56,2000,13,16,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
57,2000,13,28,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
58,2000,13,29,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
59,2000,13,30,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
60,2000,13,31,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
61,2001,13,16,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
62,2001,13,28,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
63,2001,13,29,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
64,2001,13,30,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
65,2001,13,31,月份数值越界,月份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
66,2000,2,0,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
67,2000,1,0,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
68,2000,4,0,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
69,2000,12,0,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
70,2001,2,0,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
71,2001,1,0,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
72,2001,4,0,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
73,2001,12,0,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
74,2000,2,32,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
75,2000,1,32,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
76,2000,4,32,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
77,2000,12,32,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
78,2001,2,32,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
79,2001,1,32,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
80,2001,4,32,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
81,2001,12,32,日期数值越界,日期数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
